epoch,train_loss,val_loss,val_iou,lr
1,0.013862,0.003917,0.4453,0.00010000
2,0.006633,0.003223,0.4703,0.00010000
3,0.005144,0.001754,0.6206,0.00010000
4,0.004176,0.002129,0.5945,0.00010000
5,0.003454,0.001490,0.6701,0.00010000
6,0.003229,0.002581,0.5702,0.00010000
7,0.003119,0.001063,0.7152,0.00010000
8,0.002801,0.001197,0.6723,0.00010000
9,0.002385,0.001381,0.6718,0.00010000
10,0.002305,0.001395,0.6354,0.00010000
11,0.002209,0.001381,0.6468,0.00005000
12,0.002069,0.001349,0.6521,0.00005000
13,0.002059,0.000892,0.7220,0.00005000
14,0.001696,0.000961,0.7033,0.00005000
15,0.001680,0.001002,0.7162,0.00005000
16,0.001926,0.000903,0.7114,0.00005000
17,0.001854,0.001224,0.6560,0.00002500
18,0.001689,0.000886,0.7184,0.00002500
19,0.001598,0.001228,0.6750,0.00002500
20,0.001737,0.001277,0.6683,0.00002500
21,0.001624,0.001130,0.6770,0.00002500
22,0.001603,0.000953,0.7187,0.00001250
23,0.001573,0.001052,0.6893,0.00001250
24,0.001629,0.001107,0.6914,0.00001250
25,0.001584,0.001003,0.7056,0.00001250
26,0.001687,0.000977,0.7032,0.00000625
27,0.001563,0.000984,0.7008,0.00000625
28,0.001415,0.000882,0.7211,0.00000625
29,0.001711,0.000993,0.7033,0.00000625
30,0.001459,0.000890,0.7218,0.00000625
31,0.001449,0.000925,0.7153,0.00000625
32,0.001584,0.000919,0.7152,0.00000313
33,0.001432,0.000946,0.7122,0.00000313
34,0.001401,0.000936,0.7144,0.00000313
35,0.001523,0.000962,0.7091,0.00000313
36,0.001505,0.000930,0.7121,0.00000156
37,0.001451,0.000935,0.7133,0.00000156
38,0.001345,0.000934,0.7142,0.00000156
39,0.001440,0.000919,0.7171,0.00000156
40,0.001429,0.000918,0.7205,0.00000100
41,0.001352,0.000896,0.7231,0.00000100
42,0.001432,0.000902,0.7223,0.00000100
43,0.001352,0.000892,0.7232,0.00000100
44,0.001429,0.000901,0.7212,0.00000100
45,0.001271,0.000962,0.7110,0.00000100
46,0.001260,0.000958,0.7117,0.00000100
47,0.001315,0.000925,0.7152,0.00000100
48,0.001315,0.000880,0.7242,0.00000100
49,0.001499,0.000962,0.7083,0.00000100
50,0.001341,0.000900,0.7205,0.00000100
