epoch,train_loss,val_loss,val_dice,lr
1,0.565436,0.323495,0.589315,0.00010000
2,0.214256,0.121114,0.853344,0.00010000
3,0.140312,0.099607,0.883043,0.00010000
4,0.114979,0.085142,0.902362,0.00010000
5,0.107379,0.082471,0.905352,0.00010000
6,0.090227,0.076685,0.914027,0.00010001
7,0.093233,0.073569,0.916586,0.00010000
8,0.082012,0.067954,0.922832,0.00010000
9,0.076194,0.067517,0.918831,0.00010000
10,0.078438,0.066517,0.923442,0.00010000
11,0.073095,0.061519,0.927505,0.00010000
12,0.078631,0.063891,0.926315,0.00010000
13,0.071959,0.063279,0.928425,0.00010000
14,0.067073,0.061167,0.931835,0.00010000
15,0.067227,0.063606,0.930465,0.00010000
16,0.065239,0.058269,0.931124,0.00010000
17,0.067828,0.057415,0.932534,0.00010000
18,0.063367,0.058963,0.933570,0.00010000
19,0.062823,0.063563,0.928044,0.00010000
20,0.064414,0.058955,0.934579,0.00010000
21,0.063734,0.058830,0.931077,0.00005000
22,0.059206,0.055756,0.935765,0.00005000
23,0.059549,0.052903,0.938381,0.00005000
24,0.062609,0.055856,0.936454,0.00005000
25,0.061302,0.054479,0.936091,0.00005000
26,0.060614,0.052370,0.938244,0.00005000
27,0.058991,0.057300,0.936612,0.00005000
28,0.059220,0.053820,0.938045,0.00005000
29,0.056022,0.051771,0.939282,0.00005000
30,0.061044,0.053905,0.935974,0.00005000
31,0.061119,0.053502,0.939288,0.00005000
32,0.058899,0.054183,0.937703,0.00005000
33,0.057758,0.054474,0.938845,0.00002500
34,0.054481,0.053120,0.939736,0.00002500
35,0.057118,0.050849,0.940402,0.00002500
36,0.058605,0.052719,0.940119,0.00002500
37,0.057037,0.050614,0.941826,0.00002500
38,0.055835,0.051573,0.941678,0.00002500
39,0.055373,0.051488,0.941226,0.00002500
40,0.057626,0.054659,0.938345,0.00002500
41,0.057721,0.049871,0.942035,0.00002500
42,0.061144,0.051113,0.941536,0.00002500
43,0.055376,0.052614,0.939244,0.00002500
44,0.055065,0.052810,0.941594,0.00002500
45,0.054688,0.050011,0.941991,0.00001250
46,0.056073,0.051715,0.940068,0.00001250
47,0.055603,0.050850,0.942049,0.00001250
48,0.055663,0.050542,0.941646,0.00001250
49,0.054802,0.052741,0.940741,0.00000625
50,0.056881,0.051726,0.941100,0.00000625
51,0.055626,0.049840,0.942941,0.00000625
52,0.056060,0.050506,0.942231,0.00000625
53,0.060481,0.052110,0.940146,0.00000313
54,0.055949,0.051836,0.940649,0.00000313
55,0.056227,0.050945,0.941458,0.00000313
56,0.056706,0.048172,0.943857,0.00000313
57,0.054199,0.049475,0.942934,0.00000313
58,0.056300,0.051807,0.940350,0.00000313
59,0.054842,0.049785,0.942546,0.00000313
60,0.054751,0.046938,0.944568,0.00000313
61,0.056066,0.050365,0.941736,0.00000313
62,0.053825,0.052028,0.940791,0.00000313
63,0.052679,0.050558,0.941805,0.00000313
64,0.053893,0.049962,0.942464,0.00000156
65,0.052496,0.051750,0.941289,0.00000156
66,0.055832,0.051248,0.941260,0.00000156
67,0.054896,0.051928,0.940504,0.00000156
68,0.053166,0.048170,0.943754,0.00000100
69,0.053903,0.046700,0.945455,0.00000100
70,0.053501,0.048499,0.943891,0.00000100
71,0.053107,0.046682,0.945679,0.00000100
72,0.053150,0.049390,0.943000,0.00000100
73,0.056153,0.052349,0.939903,0.00000100
74,0.053921,0.050673,0.942374,0.00000100
75,0.054277,0.052133,0.940255,0.00000100
76,0.054143,0.050070,0.942808,0.00000100
77,0.055152,0.048092,0.944445,0.00000100
78,0.054585,0.051470,0.940753,0.00000100
79,0.054157,0.049503,0.942906,0.00000100
80,0.053124,0.051044,0.941230,0.00000100
81,0.054669,0.048901,0.943225,0.00000100
82,0.053339,0.049468,0.942762,0.00000100
83,0.055877,0.051619,0.941134,0.00000100
84,0.053088,0.050817,0.942350,0.00000100
85,0.052400,0.049594,0.943451,0.00000100
86,0.055385,0.049953,0.942371,0.00000100
87,0.051675,0.049937,0.942316,0.00000100
88,0.053458,0.049989,0.942591,0.00000100
89,0.055062,0.052008,0.940537,0.00000100
90,0.054465,0.050437,0.942815,0.00000100
91,0.052733,0.049044,0.943487,0.00000100
92,0.053347,0.050612,0.941990,0.00000100
93,0.054137,0.050973,0.942328,0.00000100
94,0.055241,0.050496,0.942589,0.00000100
95,0.052659,0.051614,0.941352,0.00000100
96,0.052353,0.049534,0.942994,0.00000100
97,0.053446,0.049396,0.943709,0.00000100
98,0.052834,0.050193,0.942501,0.00000100
99,0.054834,0.051170,0.942062,0.00000100
100,0.053270,0.046163,0.945536,0.00000100
