epoch,train_loss,val_loss,val_dice,lr
1,1.189124,0.453744,0.510611,0.00010000
2,0.495065,0.247450,0.715260,0.00010000
3,0.385465,0.248758,0.764396,0.00010000
4,0.311554,0.158354,0.834942,0.00010000
5,0.276502,0.168602,0.835643,0.00010000
6,0.241926,0.203706,0.817555,0.00010000
7,0.255565,0.178729,0.824631,0.00010000
8,0.249194,0.158874,0.840978,0.00005000
9,0.199843,0.146320,0.854502,0.00005000
10,0.191947,0.142593,0.860468,0.00005000
11,0.203228,0.161276,0.847284,0.00005000
12,0.180484,0.135800,0.860453,0.00005000
13,0.182153,0.123324,0.871180,0.00005000
14,0.178843,0.113673,0.883982,0.00005000
15,0.177863,0.125784,0.873507,0.00005000
16,0.161639,0.115545,0.881347,0.00005000
17,0.164833,0.125561,0.874072,0.00005000
18,0.164071,0.095997,0.899361,0.00005000
19,0.172562,0.098430,0.898398,0.00005000
20,0.156818,0.096171,0.895432,0.00005000
21,0.159035,0.110422,0.887147,0.00005000
22,0.159827,0.093889,0.894368,0.00005000
23,0.165620,0.093444,0.900877,0.00005000
24,0.148477,0.131098,0.872942,0.00005000
25,0.144597,0.091164,0.897077,0.00005000
26,0.145711,0.088481,0.904568,0.00005000
27,0.147351,0.091434,0.900064,0.00005000
28,0.139529,0.113527,0.888718,0.00005000
29,0.142663,0.086049,0.906695,0.00005000
30,0.158756,0.089937,0.895711,0.00005000
31,0.146252,0.084047,0.905474,0.00005000
32,0.135590,0.086397,0.902588,0.00005000
33,0.148858,0.091286,0.900233,0.00005000
34,0.143169,0.075100,0.913466,0.00005000
35,0.141570,0.136167,0.865184,0.00005000
36,0.150664,0.098372,0.899241,0.00005000
37,0.133671,0.086826,0.908066,0.00005000
38,0.130846,0.081534,0.908695,0.00002500
39,0.133682,0.075786,0.915816,0.00002500
40,0.127384,0.077333,0.916236,0.00002500
41,0.131779,0.069491,0.918018,0.00002500
42,0.127163,0.073061,0.920822,0.00002500
43,0.133964,0.067900,0.922878,0.00002500
44,0.127514,0.077195,0.915438,0.00002500
45,0.125659,0.070984,0.919493,0.00002500
46,0.136796,0.070393,0.919224,0.00002500
47,0.133561,0.080971,0.914086,0.00001250
48,0.123021,0.080194,0.913120,0.00001250
49,0.128131,0.073793,0.915687,0.00001250
50,0.128658,0.075809,0.914527,0.00001250
51,0.128395,0.069826,0.921555,0.00000625
52,0.121349,0.074381,0.913002,0.00000625
53,0.128265,0.076471,0.912047,0.00000625
54,0.123291,0.069919,0.918056,0.00000625
55,0.121725,0.071597,0.916282,0.00000313
56,0.127965,0.075580,0.912705,0.00000313
57,0.125982,0.076910,0.912659,0.00000313
58,0.121922,0.074255,0.914871,0.00000313
59,0.124970,0.072916,0.917365,0.00000156
60,0.127348,0.078016,0.911513,0.00000156
61,0.123181,0.074665,0.914568,0.00000156
62,0.122838,0.070393,0.920959,0.00000156
63,0.129449,0.075430,0.914898,0.00000100
64,0.129442,0.075044,0.912945,0.00000100
