filename,split
H0040.npz,train
H0046.npz,train
H0034.npz,train
H0060.npz,train
H0004.npz,train
H0075.npz,train
H0067.npz,train
H0105.npz,train
H0091.npz,train
H0103.npz,train
H0025.npz,train
H0007.npz,train
H0035.npz,train
H0101.npz,train
H0045.npz,train
H0032.npz,train
H0108.npz,train
H0132.npz,train
H0074.npz,train
H0093.npz,train
H0009.npz,train
H0090.npz,train
H0028.npz,train
H0031.npz,train
H0100.npz,train
H0123.npz,train
H0059.npz,train
H0095.npz,train
H0127.npz,train
H0012.npz,train
H0082.npz,train
H0097.npz,train
H0033.npz,train
H0089.npz,train
H0113.npz,train
H0128.npz,train
H0015.npz,train
H0036.npz,train
H0088.npz,train
H0107.npz,train
H0023.npz,train
H0047.npz,train
H0068.npz,train
H0120.npz,train
H0048.npz,train
H0054.npz,train
H0125.npz,train
H0010.npz,train
H0092.npz,train
H0005.npz,train
H0071.npz,train
H0111.npz,train
H0078.npz,train
H0008.npz,train
H0110.npz,train
H0122.npz,train
H0027.npz,train
H0114.npz,train
H0055.npz,train
H0099.npz,train
H0039.npz,train
H0080.npz,train
H0076.npz,train
H0116.npz,train
H0030.npz,train
H0126.npz,train
H0102.npz,train
H0021.npz,train
H0065.npz,train
H0079.npz,train
H0014.npz,train
H0081.npz,train
H0038.npz,train
H0104.npz,train
H0022.npz,train
H0056.npz,train
H0109.npz,train
H0087.npz,train
H0041.npz,train
H0037.npz,validation
H0077.npz,validation
H0094.npz,validation
H0115.npz,validation
H0130.npz,validation
H0073.npz,validation
H0066.npz,validation
H0011.npz,validation
H0117.npz,validation
H0017.npz,validation
H0112.npz,validation
H0053.npz,validation
H0029.npz,validation
H0026.npz,validation
H0043.npz,validation
H0083.npz,test
H0062.npz,test
H0018.npz,test
H0072.npz,test
H0020.npz,test
H0019.npz,test
H0086.npz,test
H0044.npz,test
H0121.npz,test
H0084.npz,test
H0098.npz,test
H0013.npz,test
